[2024-08-28T13:11:03.299+0000][info][gc,metaspace] GC(14) Metaspace: 100K(320K)->100K(320K) NonClass: 96K(192K)->96K(192K) Class: 4K(128K)->4K(128K)
[2024-08-28T13:11:03.299+0000][info][gc          ] GC(14) Pause Young (Mixed) (G1 Evacuation Pause) 881M->782M(1024M) 9.009ms
[2024-08-28T13:11:03.299+0000][info][gc,cpu      ] GC(14) User=0.15s Sys=0.04s Real=0.01s
[2024-08-28T13:11:03.315+0000][info][gc,start    ] GC(15) Pause Young (Mixed) (G1 Evacuation Pause)
[2024-08-28T13:11:03.315+0000][info][gc,task     ] GC(15) Using 24 workers of 68 for evacuation
[2024-08-28T13:11:03.324+0000][info][gc,phases   ] GC(15)   Pre Evacuate Collection Set: 0.2ms
[2024-08-28T13:11:03.324+0000][info][gc,phases   ] GC(15)   Merge Heap Roots: 0.3ms
[2024-08-28T13:11:03.324+0000][info][gc,phases   ] GC(15)   Evacuate Collection Set: 8.1ms
[2024-08-28T13:11:03.324+0000][info][gc,phases   ] GC(15)   Post Evacuate Collection Set: 0.3ms
[2024-08-28T13:11:03.324+0000][info][gc,phases   ] GC(15)   Other: 0.2ms
[2024-08-28T13:11:03.324+0000][info][gc,heap     ] GC(15) Eden regions: 44->0(45)
